month,submissions,historical_delta
"2008-02",4463,0
"2008-03",4519,0
"2008-04",4898,0
"2008-05",4836,0
"2008-06",4980,0
"2008-07",5139,0
"2008-08",4160,0
"2008-09",5287,0
"2008-10",5773,0
"2008-11",4774,0
"2008-12",5116,0
"2009-01",4975,0
"2009-02",4903,0
"2009-03",5547,0
"2009-04",4930,0
"2009-05",4955,0
"2009-06",5614,0
"2009-07",5606,0
"2009-08",4597,0
"2009-09",5696,0
"2009-10",5957,0
"2009-11",5730,0
"2009-12",5537,0
"2010-01",5471,0
"2010-02",5048,0
"2010-03",6133,0
"2010-04",5602,0
"2010-05",5737,0
"2010-06",5963,0
"2010-07",5521,0
"2010-08",5399,0
"2010-09",6232,0
"2010-10",6304,0
"2010-11",6676,0
"2010-12",6045,0
"2011-01",6081,0
"2011-02",5774,0
"2011-03",6286,0
"2011-04",5711,0
"2011-05",6374,0
"2011-06",6357,0
"2011-07",6046,0
"2011-08",6331,0
"2011-09",6937,0
"2011-10",6930,0
"2011-11",7319,0
"2011-12",6432,0
"2012-01",6687,0
"2012-02",6685,0
"2012-03",6903,0
"2012-04",6739,0
"2012-05",7092,0
"2012-06",7121,0
"2012-07",7358,0
"2012-08",6592,0
"2012-09",6630,0
"2012-10",8452,0
"2012-11",7370,0
"2012-12",6974,0
"2013-01",7750,0
"2013-02",7317,0
"2013-03",7476,0
"2013-04",8135,0
"2013-05",7516,0
"2013-06",6944,0
"2013-07",8447,0
"2013-08",6833,0
"2013-09",7995,0
"2013-10",8658,0
"2013-11",7692,0
"2013-12",7878,0
"2014-01",8294,0
"2014-02",7374,0
"2014-03",8154,0
"2014-04",7855,0
"2014-05",7975,0
"2014-06",7874,0
"2014-07",8549,0
"2014-08",7119,0
"2014-09",8676,0
"2014-10",8871,0
"2014-11",8006,0
"2014-12",8770,0
"2015-01",7912,0
"2015-02",8054,0
"2015-03",9191,0
"2015-04",8367,0
"2015-05",8172,0
"2015-06",9217,0
"2015-07",8995,0
"2015-08",7983,0
"2015-09",9318,0
"2015-10",9223,0
"2015-11",9472,0
"2015-12",9376,0
"2016-01",8251,0
"2016-02",9142,0
"2016-03",9746,0
"2016-04",8948,0
"2016-05",9792,0
"2016-06",9644,0
"2016-07",8911,0
"2016-08",9016,0
"2016-09",9869,0
"2016-10",10100,0
"2016-11",10362,0
"2016-12",9599,0
"2017-01",9186,0
"2017-02",8910,0
"2017-03",11008,0
"2017-04",9029,0
"2017-05",11194,0
"2017-06",10297,0
"2017-07",9980,0
"2017-08",9854,0
"2017-09",10517,0
"2017-10",11627,0
"2017-11",11589,0
"2017-12",10332,0
"2018-01",10609,0
"2018-02",10593,0
"2018-03",11560,0
"2018-04",1524,0
